"","datacollection","standard_condition","standard_org","standard_perk","mreselfish","moreresp","moreupstan","orgbintere","investdonate","respleader","hirepres","mreselfish_re","standard_evalu_4items","standard_evalu_5items","standard_evalu_7items","standard_organization","standard_compensation","pltclideo","gender","yearbirth","countrybir","expeng","ethnicity","parented","bfrres","bfrthese","citytown","postalcode","honest","faminc","mturkhowm"
"101",1,6,1,3,2,5,5,5,7,6,6,6,5.25,5.6,5.71428571428571,1,3,4,1,1993,187,20,1,4,"1",2,"Hutchinson","55350",1,"100,000",""
"102",1,5,1,2,5,3,3,4,4,4,3,3,3.25,3.4,3.42857142857143,1,2,2,NA,1993,187,22,1,4,"1",2,"Plymouth","55447",1,"200000",""
"103",1,5,1,2,6,2,2,2,2,2,2,2,2,2,2,1,2,4,2,1994,187,20,1,6,"0",2,"Woodbury","55125",1,"100,000",""
"104",1,6,1,3,7,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1994,187,21,4,5,"0",2,"St. Paul","55119",1,"",""
"105",1,3,0,3,4,4,4,4,4,3,3,4,4,4,3.71428571428571,0,3,5,1,1993,187,22,1,4,"0",2,"St. Paul","55104",2,"90,000",""
"106",1,5,1,2,4,3,4,3,3,3,4,4,3.5,3.4,3.42857142857143,1,2,4,2,1993,187,21,1,4,"0",2,"Kenosha","53144",1,"120,000",""
"107",1,6,1,3,7,1,2,2,1,2,1,1,1.5,1.4,1.42857142857143,1,3,7,1,1995,187,19,1,4,"0",2,"Eagan","55123",1,"130000",""
"108",1,2,0,2,5,2,4,4,4,4,4,3,3.25,3.4,3.57142857142857,0,2,3,1,1993,187,21,3,4,"2",2,"Edina","55436",1,"170,000",""
"109",1,1,0,1,6,1,1,1,1,1,1,2,1.25,1.2,1.14285714285714,0,1,4,2,1995,187,20,1,4,"0",2,"St. Paul","55105",1,"100,000",""
"110",1,3,0,3,4,4,4,3,3,3,3,4,3.75,3.6,3.42857142857143,0,3,2,2,1994,187,21,1,4,"0",2,"Ellendale","56026",1,"60,000",""
"111",1,5,1,2,4,4,4,4,4,4,4,4,4,4,4,1,2,4,2,1993,187,21,2,6,"0 Marketing",2,"Minnetonka","55343",1,"200000",""
"112",1,4,1,1,4,5,5,5,5,5,5,4,4.75,4.8,4.85714285714286,1,1,6,1,1995,187,20,1,3,"0",2,"Zumbrota","55992",2,"45,000",""
"113",1,6,1,3,6,1,4,1,1,1,1,2,2,1.8,1.57142857142857,1,3,1,2,1985,187,29,1,6,"2",1,"Saint Paul","55105",1,"148000",""
"114",1,5,1,2,5,2,3,2,3,2,2,3,2.5,2.6,2.42857142857143,1,2,5,1,1995,187,19,1,5,"0",2,"Saint Paul","55104",1,"250,000",""
"115",1,1,0,1,3,5,4,6,5,5,5,5,5,5,5,0,1,3,2,1995,187,19,1,4,"0",2,"St. Paul","55113",1,"$65,000",""
"116",1,3,0,3,4,3,3,3,5,3,2,4,3.25,3.6,3.28571428571429,0,3,6,2,1993,187,22,1,5,"1",2,"St. Paul","55105",1,"$175,000",""
"117",1,3,0,3,6,1,2,1,2,1,1,2,1.5,1.6,1.42857142857143,0,3,5,2,1995,187,19,1,4,"0",2,"St. Paul","55105",1,"700000",""
"118",1,3,0,3,4,4,4,4,7,4,7,4,4,4.6,4.85714285714286,0,3,4,2,1994,187,20,1,6,"0",2,"St Paul","55105",1,"100000",""
"119",1,4,1,1,4,4,4,4,4,4,2,4,4,4,3.71428571428571,1,1,5,2,1995,187,19,1,6,"1",2,"Saint Paul","55105",1,"350,000",""
"120",1,5,1,2,6,2,3,3,3,3,2,2,2.5,2.6,2.57142857142857,1,2,6,2,1994,187,20,1,4,"0",2,"Hudson","54016",1,"$100,000",""
"121",1,2,0,2,5,1,4,4,2,2,4,3,3,2.8,2.85714285714286,0,2,7,2,1995,187,19,1,5,"1",1,"West Saint Paul","55118",2,"70,000",""
"122",1,6,1,3,5,4,4,4,3,4,3,3,3.75,3.6,3.57142857142857,1,3,6,1,1994,187,20,1,5,"0",2,"De Pere","54115",1,"200000",""
"123",1,6,1,3,5,4,4,4,4,5,5,3,3.75,3.8,4.14285714285714,1,3,6,2,1994,187,0,1,4,"0",2,"Hampton","55031",1,"60000",""
"124",1,2,0,2,6,3,3,2,2,2,3,2,2.5,2.4,2.42857142857143,0,2,5,1,1993,187,21,1,6,"0",2,"wayzata","55446",1,"300000",""
"125",1,2,0,2,4,4,4,5,4,3,4,4,4.25,4.2,4,0,2,4,1,1994,187,21,1,4,"1",2,"Sait Paul","55105",1,"285,000+",""
"126",1,5,1,2,6,2,1,1,2,1,2,2,1.5,1.6,1.57142857142857,1,2,5,1,1993,187,21,1,5,"10",2,"Mendota Heights","55120",1,"275,000",""
"127",2,1,0,1,3,4,4,5,7,3,6,5,4.5,5,4.85714285714286,0,1,2,2,1995,187,19,1,6,"0",2,"SAN JOSE","95129",1,"300000",""
"128",2,1,0,1,4,4,4,4,3,4,4,4,4,3.8,3.85714285714286,0,1,6,2,1995,61,9,1,6,"0",2,"washington dc","20016",1,"130000",""
"129",2,6,1,3,6,1,2,2,2,3,2,2,1.75,1.8,2,1,3,7,2,1993,187,21,1,4,"8",1,"Washington, DC","20016",1,"300,000",""
"130",2,3,0,3,5,4,3,2,2,2,2,3,3,2.8,2.57142857142857,0,3,4,2,1995,187,19,1,5,"0",2,"Sag Harbor","11963",1,"",""
"131",2,4,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,1996,187,18,3,6,"0",2,"Arlington","22204",1,"$130,000",""
"132",2,5,1,2,5,3,3,3,3,3,2,3,3,3,2.85714285714286,1,2,1,2,1996,187,18,1,6,"0",2,"Washington DC","20016",1,"$100,000",""
"133",2,6,1,3,1,2,2,5,7,5,7,7,4,4.6,5,1,3,4,2,1996,187,18,6,5,"0",2,"Kailua","96734",1,"100,00",""
"134",2,6,1,3,4,4,4,4,3,4,3,4,4,3.8,3.71428571428571,1,3,4,2,1995,86,2,2,5,"0",2,"Washington","20016",1,"80000",""
"135",2,2,0,2,5,3,3,2,2,2,2,3,2.75,2.6,2.42857142857143,0,2,6,1,1994,21,20,3,6,"2",2,"Washington DC","20016",1,"1000000",""
"136",2,6,1,3,6,2,2,2,2,2,1,2,2,2,1.85714285714286,1,3,6,2,1996,187,18,6,6,"0",2,"Boston, MA","1760",1,"500",""
"137",2,1,0,1,4,4,4,4,4,4,4,4,4,4,4,0,1,4,2,93,187,21,4,5,"2",2,"Washington DC","20016",1,"48,000",""
"138",2,6,1,3,6,3,2,6,7,5,5,2,3.25,4,4.28571428571429,1,3,4,2,1993,10,3,1,3,"3",1,"Washington DC","20016",1,"30,000",""
"139",2,3,0,3,1,7,7,4,7,7,7,7,6.25,6.4,6.57142857142857,0,3,4,1,1996,187,19,4,5,"1",2,"Germantown","20841",1,"",""
"140",2,1,0,1,5,4,4,4,6,4,4,3,3.75,4.2,4.14285714285714,0,1,3,1,1992,187,22,1,6,"0",2,"Washington, DC","20016",1,"400,000",""
"141",2,5,1,2,5,4,4,2,2,2,2,3,3.25,3,2.71428571428571,1,2,5,1,1981,196,25,2,6,"3",2,"Washington, DC","20018",1,"75000",""
"142",2,4,1,1,1,7,7,7,7,7,7,7,7,7,7,1,1,4,2,1995,36,19,2,5,"2",2,"Washington","20016",1,"",""
"143",2,1,0,1,4,4,4,5,4,5,4,4,4.25,4.2,4.28571428571429,0,1,2,2,1994,187,20,0,6,"5",2,"Westchester NY","10579",1,"300,000",""
"144",2,6,1,3,5,2,2,1,2,2,2,3,2,2,2,1,3,4,2,1994,136,18,2,5,"2",1,"North Bethesda","20852",1,"120000",""
"145",2,1,0,1,4,4,4,4,2,3,1,4,4,3.6,3.14285714285714,0,1,3,2,1994,187,20,1,4,"3",2,"Denville","7834",1,"260,000",""
"146",2,6,1,3,7,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1994,74,18,3,4,"0",2,"Washington DC","20016",1,"800000",""
"147",2,3,0,3,5,3,3,2,2,3,4,3,2.75,2.6,2.85714285714286,0,3,4,2,1994,86,5,2,4,"0",2,"Washington","20016",2,"$500000",""
"148",2,3,0,3,4,4,6,2,5,3,5,4,4,4.2,4.14285714285714,0,3,4,2,1994,137,3,1,4,"0",2,"Sejny","16500",1,"16000",""
"149",2,3,0,3,5,3,4,3,5,3,2,3,3.25,3.6,3.28571428571429,0,3,2,2,20,187,20,3,4,"0",2,"Washington, DC","20016",1,"60,000",""
"150",2,5,1,2,7,2,4,1,4,2,1,1,2,2.4,2.14285714285714,1,2,6,1,1993,187,21,1,6,"2",2,"Boston","2458",1,"?",""
"151",2,1,0,1,2,4,2,3,3,1,2,6,3.75,3.6,3,0,1,0,2,1992,151,4,0,5,"0",2,"Arlington","22204",1,"",""
"152",2,5,1,2,6,4,2,4,3,4,3,2,3,3,3.14285714285714,1,2,2,2,1993,168,20,1,4,"5",2,"Washington","20016",1,"1000000",""
"153",2,1,0,1,4,4,4,3,2,3,3,4,3.75,3.4,3.28571428571429,0,1,5,2,1993,132,18,3,6,"4",2,"Washington","20016",1,"100000",""
"154",2,1,0,1,4,4,4,4,3,4,5,4,4,3.8,4,0,1,4,2,1994,36,10,2,4,"0",2,"Washington DC","20016",1,"I don't know",""
"155",2,5,1,2,7,4,2,3,3,4,2,1,2.5,2.6,2.71428571428571,1,2,4,1,1994,95,20,1,4,"0",2,"fairfax, va","22003",1,"80,000",""
"156",2,6,1,3,5,4,4,3,2,3,3,3,3.5,3.2,3.14285714285714,1,3,4,2,1993,162,14,2,4,"0",2,"Chester","3036",1,"50,000",""
"157",2,3,0,3,7,1,1,1,1,1,1,1,1,1,1,0,3,4,1,1994,126,20,4,6,"2",2,"Malvern","19355",1,"",""
"158",2,5,1,2,6,1,1,1,1,3,1,2,1.25,1.2,1.42857142857143,1,2,4,2,1987,37,8,3,3,"2",2,"Mclean","22102",1,"400,000",""
