"","condition","participant_id","wave","surveyed_after_yoga_session","sex","age","z_self_centrality","z_better_than_average","z_exp_better_than_average","z_communal_narcissism","z_self_esteem","z_g_factor","z_g_factor_well_being","z_grouped_self_centrality","z_grouped_g_factor","z_grouped_g_factor_well_being","z_grouped_communal_narcissism","z_grouped_self_esteem","z_grouped_better_than_average"
"133",1,"139",11,1,1,"65",1.41069899087914,1.11600227054121,0.279167546063138,0.370641220604882,0.401308024013205,0.666165689790656,1.13733563302358,0.132484159224911,0.0498902947518453,0.413471743856377,-0.0764928338732948,-0.036693055014079,0.454453290121016
"134",0,"74",12,0,1,"20",1.07600216757411,1.15096021593514,0.0427921056009192,0.354249899060605,0.126110111407611,0.486258405181355,1.16711071731684,0.439289580587863,0.172008767367223,0.386650856678086,0.409783038606936,-0.0917326375351978,0.32627415700996
"135",1,"5",4,1,1,"23",-1.05769008099552,-1.06886931657906,0.0427921056009192,-0.760359965950262,-0.0390086361557446,-0.558924739554535,-1.14013046143856,0.267292601944996,-0.187573755739118,-0.224542945858891,-0.309613851391907,-0.0428085641830923,-0.174789726969621
"136",1,"55",4,1,1,"25",-0.702074706233912,-0.142483763640063,-0.548146495554628,0.370641220604882,-1.80027527683154,-1.07318913578251,-0.0485966010837266,-0.198726238837367,0.0668760277311431,-0.0226487551337394,0.159815385056705,0.0275197912605594,-0.056806661265127
"137",0,"55",5,0,1,"26",-0.388296434385438,0.207095690299179,-0.902709656247957,0.124771397440721,-1.80027527683154,-1.08836582147304,0.233316853022586,0.115052033011107,0.0516993420406053,0.259264698972573,-0.0860544381074566,0.0275197912605594,0.292772792674116
"138",1,"78",9,1,1,"20",0.009156043289295,-0.334752463306647,-0.0359997078864872,0.911554831566038,0.126110111407611,0.362578276595807,-0.125253926151768,0.376533926218169,0.302939800891636,0.248968908798454,0.180304536987052,0.275197912605593,0.227226645060508
"139",0,"87",11,0,1,"19",-0.681156154777347,0.0847428814204445,1.1064815876809,-0.235837676533383,-2.29563151952161,-1.58221567200035,0.0483333749817707,-0.285886869906387,-1.20336522963246,-0.268185733874154,-0.10927547696185,-1.6695340031406,-0.262184590454432
"140",0,"123",11,0,1,"30",0.11374880057212,-1.12130623466994,-1.06029328322277,-1.05540375374726,-2.07547318943713,-2.0282250415954,-1.24655890430122,0.997117619429594,-0.262590038067767,0.561923909437655,0.0382464169366474,-0.623781935239345,0.588458747464392
"141",0,"1",2,0,1,"24",0.281097212224639,-1.45340671591222,-0.351166961836112,0.960728796198871,0.126110111407611,0.126500076699141,-1.16991347872911,-0.0313778271848474,-0.462522612969732,-0.897050428079862,-0.188500197759191,-0.275197912605593,-0.913276323416272
"142",1,"19",2,1,1,"19",0.720386792812502,-0.596937053761079,-0.902709656247957,1.22298994090731,0.676505936618798,0.78608738846489,-0.31214106405066,0.507274872821699,0.37682729554301,0.532935075379294,1.26622958929543,-0.275197912605593,0.305882022196838
