"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6"
"55","MSA",40,0,21,1,2,1,3,1,4,1,1,1,4,3,3,4,2,2,1,4,3,2,3,1,2,1,3,1,2,4,2,4,1,2,1,5,3,1,1,1,1,1,3.83333333333333,6,2,7,2,5,1
"56","MSB",40,0,19,0,5,2,4,2,4,1,1,2,3,2,2,4,1,5,3,5,5,1,3,1,1,1,4,3,1,5,3,2,1,1,1,2,4,1,1,1,1,1,3.5,4,5,1,5,2,4
"57","MSC",40,0,21,0,4,2,4,3,4,1,1,2,4,4,1,3,1,3,4,5,5,2,4,1,1,1,3,2,2,4,4,3,2,1,1,2,4,1,1,2,3,2,7,7,7,7,7,7,7
"58","MTA",42,0,20,0,4,1,4,3,3,1,2,1,5,3,1,4,1,4,2,4,4,2,4,2,1,1,3,2,1,5,5,4,2,1,1,2,5,1,1,1,2,3,2.16666666666667,3,1,2,3,2,2
"59","MTB",42,0,22,0,4,1,4,1,4,1,1,1,3,4,1,2,1,3,1,3,4,1,4,1,1,1,4,1,1,4,3,3,1,1,1,3,4,1,1,1,2,2,3.16666666666667,7,1,3,2,4,2
"60","MTC",42,0,19,0,3,2,3,2,3,1,1,1,3,3,1,2,3,2,2,4,4,3,4,1,1,1,3,2,1,4,2,1,2,1,1,1,3,1,1,1,1,4,3.5,4,1,4,4,6,2
"61","MUA",43,0,24,1,2,1,2,3,2,3,1,1,2,1,1,2,3,3,3,2,3,3,3,2,2,3,2,4,3,4,3,3,1,4,1,4,3,4,3,2,1,2,2.16666666666667,2,1,1,1,1,7
"62","MUB",43,0,21,1,4,1,4,2,4,1,2,1,4,3,1,4,1,3,3,3,2,2,4,1,1,1,2,1,1,4,3,2,1,1,1,2,1,1,1,1,1,1,1.83333333333333,1,3,2,2,2,1
"63","MUC",43,0,24,0,4,3,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,3,3,2,2,3,3,2,1,1,2,4,3,1,1,1,2,3,5,5,2.16666666666667,4,5,1,1,1,1
"64","MVA",45,0,23,0,5,3,3,1,4,1,1,1,5,3,1,4,1,2,3,2,4,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,4,1,1,1,1,1,6.66666666666667,7,7,6,7,7,6
