"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular"
"252",0,1,0,76.6666666666667,0,21,FALSE,TRUE,7,6,1,1,1,6
"253",1,0,0,74.6666666666667,0,20,FALSE,TRUE,1,2,6,1,6,1
"254",0,0,0,70.6666666666667,0,19,FALSE,FALSE,4,1,1,7,1,7
"255",0,1,0,78,0,20,TRUE,FALSE,2,6,4,3,5,3
"256",0,0,0,65.4,0,20,FALSE,FALSE,1,1,7,1,7,1
"257",0,0,1,57.2,1,20,FALSE,TRUE,4,1,1,1,1,4
"258",0,1,0,63.6666666666667,0,20,FALSE,TRUE,7,6,1,1,1,6
"259",0,1,0,67.8,1,21,FALSE,TRUE,4,5,2,4,5,3
"260",0,0,0,37.8,1,18,FALSE,FALSE,7,1,1,7,1,4
"261",1,0,0,81,1,22,TRUE,FALSE,1,1,7,1,7,1
"262",0,0,1,54.1666666666667,1,20,TRUE,FALSE,4,1,1,7,1,7
"263",1,0,0,88.4,0,20,FALSE,TRUE,1,1,7,1,7,1
"264",0,0,0,92,0,20,FALSE,FALSE,1,1,7,1,7,1
"265",0,0,1,83.1666666666667,0,20,FALSE,TRUE,4,4,4,4,1,7
"266",0,0,1,75.1666666666667,0,20,FALSE,TRUE,4,1,1,7,1,6
"267",0,1,0,53.8333333333333,0,21,FALSE,TRUE,1,1,7,1,7,1
"268",0,0,1,68.6666666666667,1,19,FALSE,TRUE,7,1,1,4,1,7
"269",0,1,0,64,1,25,FALSE,TRUE,6,7,1,2,2,4
"270",1,0,0,55.1666666666667,0,21,FALSE,TRUE,1,1,4,1,7,1
"271",0,1,0,87.8333333333333,1,20,TRUE,FALSE,5,5,3,3,1,3
"272",0,0,0,83.3333333333333,0,19,FALSE,FALSE,3,6,6,2,4,3
"273",1,0,0,86.3333333333333,0,20,FALSE,TRUE,1,1,7,5,7,7
"274",1,0,0,68.1666666666667,0,20,FALSE,TRUE,1,1,5,1,6,1
"275",0,1,0,89.3333333333333,0,20,FALSE,TRUE,7,7,2,1,1,3
"276",0,0,1,88,1,19,FALSE,TRUE,4,1,3,3,1,1
"277",1,0,0,80.8333333333333,1,19,TRUE,FALSE,1,2,7,1,6,1
"278",1,0,0,70.8333333333333,0,20,FALSE,TRUE,3,2,7,3,3,1
"279",1,0,0,61.6666666666667,0,20,FALSE,TRUE,1,1,7,2,7,1
"280",0,0,1,46.1666666666667,1,21,FALSE,TRUE,1,1,6,5,5,1
"281",0,1,0,82.5,0,20,FALSE,TRUE,3,5,6,1,5,1
"282",0,1,0,69.3333333333333,0,20,FALSE,TRUE,6,7,3,2,5,5
"283",0,0,0,63.2,0,20,FALSE,FALSE,1,1,1,4,1,2
"284",1,0,0,47.6666666666667,1,18,TRUE,FALSE,1,1,5,1,7,1
"285",0,0,1,70.5,0,19,FALSE,TRUE,4,1,1,7,1,7
"286",0,0,0,72.5,1,19,FALSE,FALSE,1,1,1,4,1,4
"287",0,1,0,65.3333333333333,0,20,FALSE,TRUE,1,1,7,3,7,1
"288",1,0,0,62.5,0,19,FALSE,TRUE,1,5,1,1,7,1
"289",0,1,0,77.3333333333333,0,18,FALSE,TRUE,7,6,1,3,1,7
"290",0,1,0,75,0,21,FALSE,TRUE,3,3,4,1,4,2
"291",0,0,0,51,1,21,FALSE,FALSE,2,1,7,1,6,1
"292",0,1,0,60.2,1,19,FALSE,TRUE,4,3,1,1,4,3
"293",0,0,1,65.1666666666667,0,19,FALSE,TRUE,2,1,1,1,1,3
"294",0,0,0,73.6666666666667,0,22,FALSE,TRUE,1,1,7,1,6,1
"295",0,0,1,71.3333333333333,0,18,FALSE,TRUE,4,4,4,7,1,7
"296",0,0,0,44.2,0,21,FALSE,TRUE,1,1,7,1,6,1
"297",0,0,1,85,1,22,FALSE,TRUE,4,1,1,7,1,5
"298",0,0,0,49.8333333333333,0,21,FALSE,FALSE,7,7,1,1,1,7
"299",0,0,1,78.8333333333333,0,19,FALSE,TRUE,7,1,1,7,1,7
"300",0,0,1,53.1666666666667,0,21,FALSE,TRUE,4,1,1,7,1,5
"301",0,1,0,69.6,0,20,FALSE,TRUE,5,5,1,1,1,4
"302",0,0,1,87.6666666666667,0,19,FALSE,TRUE,7,1,1,4,1,7
"303",1,0,0,50.5,1,19,FALSE,TRUE,4,1,7,1,7,1
"304",0,1,0,81.6666666666667,0,21,FALSE,TRUE,1,3,1,1,5,1
"305",1,0,0,64.6666666666667,0,20,FALSE,TRUE,1,5,7,4,7,1
"306",0,1,0,85.6,1,19,FALSE,TRUE,2,1,6,2,5,2
"307",0,1,0,66,0,21,FALSE,TRUE,6,6,4,7,1,7
"308",1,0,0,61.8333333333333,0,20,FALSE,TRUE,1,1,6,1,6,1
"309",0,1,0,71.8333333333333,0,21,FALSE,TRUE,1,2,5,1,7,1
"310",0,0,1,60.2,1,20,FALSE,TRUE,3,1,1,7,4,4
"311",0,0,1,63.8333333333333,0,19,FALSE,TRUE,4,1,1,6,3,4
"312",1,0,0,77,0,20,FALSE,TRUE,1,1,7,1,7,1
"313",0,0,0,76,0,19,FALSE,TRUE,5,5,1,1,1,4
"314",1,0,0,82.6666666666667,1,21,FALSE,TRUE,1,1,7,3,7,1
"315",0,0,1,87.75,1,21,FALSE,TRUE,4,1,1,7,1,4
"316",0,1,0,76,0,18,FALSE,TRUE,4,4,5,6,3,3
"317",0,0,1,85.3333333333333,0,18,FALSE,TRUE,4,7,1,4,1,3
"318",0,0,1,65.3333333333333,1,19,FALSE,TRUE,7,4,3,5,4,4
"319",0,1,0,76.8333333333333,0,18,FALSE,TRUE,3,1,2,1,4,2
"320",1,0,0,80.5,1,20,FALSE,TRUE,4,3,5,4,2,1
"321",0,1,0,71.4,0,21,TRUE,FALSE,5,5,2,1,2,5
"322",0,0,0,60.8333333333333,0,19,FALSE,TRUE,4,3,3,7,1,4
"323",1,0,0,75.6666666666667,1,19,FALSE,TRUE,1,3,3,4,7,1
"324",0,1,0,69,1,21,TRUE,FALSE,7,5,1,5,1,7
"325",0,0,1,83.6,1,20,TRUE,FALSE,4,1,1,7,1,7
"326",0,1,0,56.6666666666667,1,27,FALSE,TRUE,5,6,6,1,2,4
"327",1,0,0,74.6,0,20,FALSE,TRUE,1,1,7,1,7,1
"328",1,0,0,55.2,1,18,FALSE,TRUE,1,1,5,1,6,1
